1,11,patient1,Changed,04/17/2023 08:55
2,11,patient1,Changed,04/17/2023 08:56
3,11,patient1,Changed,04/17/2023 08:58
4,11,patient1,Changed,04/17/2023 08:59
5,15,patient3,Created,04/17/2023 10:25
6,15,patient3,Changed,04/17/2023 10:25
7,16,patient3,Created,04/17/2023 10:26
8,16,patient3,Deleted,04/17/2023 10:30
9,15,patient3,Deleted,04/17/2023 10:35
10,15,patient3,Deleted,04/17/2023 10:36
11,15,patient3,Created,04/17/2023 10:37
12,15,patient3,Created,04/17/2023 10:38
13,16,patient3,Created,04/17/2023 10:39
14,16,milicke,Created,04/17/2023 10:45
15,17,milicke,Created,04/17/2023 10:46
16,16,milicke,Deleted,04/17/2023 10:46
17,17,milicke,Changed,04/17/2023 10:47
18,17,milicke,Changed,04/17/2023 10:47
19,17,milicke,Changed,04/17/2023 10:47
20,17,milicke,Changed,04/17/2023 10:47
